trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,Instruction.started,text.started,Instruction.stopped,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,0.00933989998884499,0.02975340001285076,7.012128800153732,,,,,,,,,,,,,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
0,2,10.0,7.075540499994531,,,,,7.012312000151724,7.075540499994531,7.5246790000237525,7.5246790000237525,7.5246790000237525,12.529892900027335,1504.4495555001777,right,10.0,1,1,1496.8487462999765,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
1,2,8.0,1504.662793100113,,,,,1504.48435100005,1504.662793100113,1505.0883405001368,1505.0883405001368,1505.0883405001368,,1505.8260356001556,left,-8.0,1,1,0.7266832001041621,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
2,2,6.0,1505.8423238000832,,,,,1505.8260974001605,1505.8423238000832,1506.3252108001616,1506.3252108001616,1506.3252108001616,,1507.126099199988,left,-6.0,1,1,0.7948770998045802,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
3,2,4.0,1507.1429356001318,,,,,1507.126152700046,1507.1429356001318,1507.6247221000958,1507.6247221000958,1507.6247221000958,,1508.2765709999949,right,4.0,1,1,0.6350859000813216,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
4,2,2.0,1508.2911831999663,,,,,1508.276644699974,1508.2911831999663,1508.791741900146,1508.791741900146,1508.791741900146,,1509.704371200176,right,2.0,1,1,0.8751411999110132,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
5,2,1.0,1509.7197992999572,,,,,1509.7045101001859,1509.7197992999572,1510.2085389001295,1510.2085389001295,1510.2085389001295,,1510.857764699962,left,-1.0,1,1,0.6418186000082642,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
6,2,1.0,1510.87454970018,,,,,1510.857823500177,1510.87454970018,1511.3571481001563,1511.3571481001563,1511.3571481001563,,1512.5433400999755,left,-1.0,1,1,1.1753505000378937,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
7,1,1.0,1512.5579907000065,,,,,1512.5434204000048,1512.5579907000065,1513.057484100107,1513.057484100107,1513.057484100107,,1513.6597838001326,right,1.0,0,0,0.6001671999692917,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
8,1,2.0,1513.674659700133,,,,,1513.6600393999834,1513.674659700133,1514.176069300156,1514.176069300156,1514.176069300156,,1514.7427763000596,left,-2.0,1,1,0.552600699942559,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
9,1,2.0,1514.7577961999923,,,,,1514.742872999981,1514.7577961999923,1515.2562892001588,1515.2562892001588,1515.2562892001588,,1516.6754113000352,left,-2.0,1,1,1.402884199982509,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
10,1,2.0,1516.6901056000497,,,,,1516.675486100139,1516.6901056000497,1517.1750831999816,1517.1750831999816,1517.1750831999816,,1517.775370700052,right,2.0,1,1,0.591954399831593,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
11,1,1.0,1517.7902884001378,,,,,1517.7754596001469,1517.7902884001378,1518.2897954999935,1518.2897954999935,1518.2897954999935,,1518.9247738001868,left,-1.0,1,1,0.6203761000651866,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
12,1,1.0,1518.9403804000467,,,,,1518.9248612001538,1518.9403804000467,1519.4230844001286,1519.4230844001286,1519.4230844001286,,1520.075328100007,left,-1.0,1,1,0.6363812999334186,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
13,1,1.0,1520.088927600067,,,,,1520.0754196001217,1520.088927600067,1520.589934000047,1520.589934000047,1520.589934000047,,1521.2742327000014,left,-1.0,1,1,0.6716167000122368,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
14,0.5,1.0,1521.2891385999974,,,,,1521.2743016001768,1521.2891385999974,1521.7891707001254,1521.7891707001254,1521.7891707001254,,1522.3581467000768,left,-1.0,0,0,0.5614752999972552,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
15,0.5,1.5,1522.3732738001272,,,,,1522.3582848000806,1522.3732738001272,1522.8564145001583,1522.8564145001583,1522.8564145001583,,1523.7232711000834,right,1.5,1,1,0.851929800119251,528786,001,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530,
